id,college_name,survey_year,name,hostel_type,intake_capacity,students_residing
849,SHRI SAURBH ARTS COLLEGE-GDU(JUNAGADH),2015,SHRI MATRUVANDAN HOSTEL,Boys Hostel,50,23
45648,"SRINIDHI COLLEGE OF HEALTH SERVICES AND RESEARCH (Inst. Code - 384), MADURAI",2015,Shrinidhi girls hostel I,Girls Hostel,175,96
9296,B256 Noor College of Education Bidar,2015,Noor Girls Hostel,Girls Hostel,55,25
9296,B256 Noor College of Education Bidar,2015,Noor Boys Hostel,Boys Hostel,100,50
47909,PIONEER BSC NURSING COLLEGE,2015,ASOB,Boys Hostel,40,9
44,"SHANTILAL SHAH ENGINEERING COLLEGE ,BHAVNAGAR 043",2015,SSEC-C,Boys Hostel,132,75
6014,J. & R. B. Ed. College,2015,"Sheth shri girdhirlal Mahila Hostel, Dahod",Girls Hostel,40,0
794,PEOPLE WELFARE SOC. MANAGED M.V.B. MANVAR B.ED. COLLEGE-DUMIYANI,2015,matushree V.B. Manvar B.Ed. student Hostel,Boys Hostel,70,7
420,"Vallabhbudhi polytechnic, Navsari 655",2015,S.N.P.V.K.S.KT BOYS HOSTEL,Boys Hostel,100,8
88,Chaudhari Technical Institute (Womens College) - MCA (SFI) - Gandhinagar 506,2015,Chaudhari Mahila Hostel,Girls Hostel,60,35
251,"Manish Institute of Management, Visnagar",2015,Nootan Hostel,Boys Hostel,639,3
7354,"Matoshri Pratishthan's School of Management, Jijau Nagar, Khupsarwadi, Post Vishnupuri, Nanded",2015,MATOSHRI HOSTEL NANDED,Boys Hostel,100,100
7354,"Matoshri Pratishthan's School of Management, Jijau Nagar, Khupsarwadi, Post Vishnupuri, Nanded",2015,MATOSHRI HOSTEL NANDED,Girls Hostel,100,75
5896,M. G. Science Institute,2015,AES BOYS HOSTEL,Boys Hostel,20,20
5896,M. G. Science Institute,2015,L. T. MUNSHAW GIRLS HOSTEL,Girls Hostel,50,50
6769,SHRI C J PATEL COLLEGE OF COMPUTER STUDIES,2015,NOOTAN GIRLS HOSTEL,Girls Hostel,250,185
41762,"Shri Bhiravnathh Shikshan Prasarak Mandals Shri Bhimashankar B.Ed. College, Landewadi, Chincholi, Tal. Ambegaon, Dist. Pune",2015,Chandrabhaga,Girls Hostel,50,0
390,D.L.Patel Institute of Management & Technology-MBA Programme (SFI)-Himmatnagar 709,2015,Saraswati Girls Hostel,Girls Hostel,30,0
46579,DR N J SHAH PGDCA COLLEGE MODASA,2015,Boys Hostel,Boys Hostel,330,0
6776,SHRI M L GANDHI HIGHER EDUCATION BCA COLLEGE,2015,Boys Hostel (Campus),Boys Hostel,330,1
6749,SARASWATI COLLEGE EDUCATION VIRAWADA,2015,SARASWATI GIRLS HOSTEL,Boys Hostel,50,0
10993,"Kisan Veer Mahavidyalaya, WAI",2015,Girle Hostel wai,Girls Hostel,45,24
31,"Bhulabhai Vanmalibhai Patel Institute of Technology(D.S),Umrakh 656",2015,"S. R. PATEL HOSTEL, VIDYABHARTI CAMPUS, UMRAKH",Girls Hostel,108,16
52245,SHREE UMIYA PARIWAR EDUCATION TRUST SANCHALIT B.C.A. COLLEGE,2015,Shri Vijapura Vidhya Sankul 2,Girls Hostel,500,182
10969,"Meghasan College, Nudadiha",2015,Women's Hostel,Girls Hostel,50,0
6017,Sheth M. N. C. College of Education,2015,Girls Hostel,Girls Hostel,30,6
39729,"Institute of Health Sciences, N-2/41, IRC Village, Nayapalli, Bhubaneswar",2015,IHS GIRLS HOSTEL-1,Girls Hostel,40,31
39729,"Institute of Health Sciences, N-2/41, IRC Village, Nayapalli, Bhubaneswar",2015,IHS BOYS HOSTEL-1,Boys Hostel,40,28
39729,"Institute of Health Sciences, N-2/41, IRC Village, Nayapalli, Bhubaneswar",2015,IHS BOYS HOSTEL-2,Boys Hostel,15,12
39729,"Institute of Health Sciences, N-2/41, IRC Village, Nayapalli, Bhubaneswar",2015,IHS GIRLS HOSTEL-2,Girls Hostel,40,31
264,"MAHATMA GANDHI INST.OF TECHNICAL EDU. AND RESEARCH CENTER,NAVASARI 033",2015,B.N. Hostel,Girls Hostel,125,25
41698,"Sinhgad Technical Education Societys Sinhgad Institute of Management,Business Administration and Computer Application, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401",2015,TORNAGAD,Boys Hostel,384,50
41698,"Sinhgad Technical Education Societys Sinhgad Institute of Management,Business Administration and Computer Application, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401",2015,BHAGIRATHI,Girls Hostel,116,0
41698,"Sinhgad Technical Education Societys Sinhgad Institute of Management,Business Administration and Computer Application, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401",2015,RAJGAD,Girls Hostel,120,30
41698,"Sinhgad Technical Education Societys Sinhgad Institute of Management,Business Administration and Computer Application, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401",2015,KAVARI,Girls Hostel,440,30
41698,"Sinhgad Technical Education Societys Sinhgad Institute of Management,Business Administration and Computer Application, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401",2015,GAYATRI,Girls Hostel,77,0
7403,"Nanded Pharmacy College, Shyam Nagar, Nanded",2015,Girls Hostel,Girls Hostel,50,25
6080,J. G. College of Physiotherapy,2015,"JG Ladies Hostel, Ahmedabad",Girls Hostel,280,15
25460,Netra vidhyalayam Degree College for Blind,2015,Netra Girls Hostel,Girls Hostel,100,23
5840,S. D. Arts & B. R. Commerce College,2015,M.D.&C.D.Chhatralaya,Boys Hostel,60,0
12575,"HAZARI LAL MAHAVIDYALAYA, PAHADAPUR,",2015,Maa Madhuri Devi Boys Hostel,Boys Hostel,100,97
47886,"G M E R S MEDICAL COLLEGE, AHMEDABAD",2015,STUDENTS BOYS HOSTEL,Boys Hostel,540,318
1195,"Anand College of Education, Anand",2015,Anand Hostel,Girls Hostel,200,200
