id,name,survey_year,type,hostelname,intake_capacity,students_residing
12853,"BHAGWAN BUDDHA PRIMARY TEACHERS EDUCATION COLLEGE BAJRAHIYAN, SIWAN",2015,Others,Smt. Pukari Devi Hostels,100,45
4817,SCHOOL OF NURSING WADGAON PUNE,2015,Boys Hostel,cydpnursing boys hostel,20,12
4817,SCHOOL OF NURSING WADGAON PUNE,2015,Girls Hostel,cydpnursing girls hostel,100,85
13152,"SRI KRISHNA CHAITANYA SCHOOL OF NURSING, PRASANTHNAGAR, CHITTOOR",2015,Girls Hostel,Girls hostel,100,70
8665,DISTRICT INSTITUTE OF EDUCATION & TRAINING GHAZIPUR,2015,Boys Hostel,DIET HOSTEL,50,4
10808,SHRI VITHAL EDUCATION & RESEARCH INSTITUTE`S COLLEGE OF PHARMACY(POLY ) PANDHARPUR,2015,Girls Hostel,SVERI's Girls Hostel,20,20
10808,SHRI VITHAL EDUCATION & RESEARCH INSTITUTE`S COLLEGE OF PHARMACY(POLY ) PANDHARPUR,2015,Boys Hostel,SVERI's Boys Hostel,20,20
14568,"TRINITY POLYTECHNIC PUNE, MAHARASHTRA",2015,Boys Hostel,"KJ's Boys Hostel, Pune",100,7
11104,PRANAM PRIMARY TEACHERS TRAINING COLLEGE SARKHEJ,2015,Others,PRANAM PTC COLLEGE HOSTEL,100,0
3800,SHRI RAJIBEN GANDALAL GENERAL NURSING SCHOOL MEHSANA,2015,Girls Hostel,SHREE HANSABEN JAYANTILAL PATEL NURSING HOSTEL,200,135
14004,"ANM SCHOOL, CIVIL HOSPITAL, DAHOD",2015,Girls Hostel,"ANM Hostel, General Hospital",20,19
3652,ST ANN'S HOSPITAL SCHOOL OF NURSING KRISHNA,2015,Girls Hostel,St. Ann's Hostel,180,159
3790,"SCHOOL OF NURSING(GNM), CIVIL HOSPITA, DAHOD",2015,Girls Hostel,Hostel for Nurses General Hospital Dahod,30,110
5934,RIDDHI EDUCATION TRUST SABARKANTHA,2015,Others,RIDDHI HOSTEL,50,50
10165,TRIMURTI PAWAN PRATISHTHAN SHEVGAON AHMEDNAGAR,2015,Girls Hostel,trimurti gir's hostel,200,0
10165,TRIMURTI PAWAN PRATISHTHAN SHEVGAON AHMEDNAGAR,2015,Girls Hostel,trimurti boy's hostel,200,0
3743,PANNA DAI SCHOOL OF NURSING NEW DELHI,2015,Girls Hostel,"Nurse's Hostel, Deen Dayal Upadhyay Hospital, Hari Nagar, New Delhi-64",30,120
3612,SEVEN HILLS HOSPITAL SCHOOL OF NURSING VISAKHAPATNAM,2015,Girls Hostel,sevenhills hospital,300,240
12084,"CARAMEL D.ED COLLEGE, BIDAR",2015,Girls Hostel,CARMEL D.ED HOSTEL,60,18
6593,ROYALE CONCORDE TEACHER TRAINING INSTITUTE BANASHANKARI BANGALORE,2015,Boys Hostel,Bangalore City boys hostel,50,3
6593,ROYALE CONCORDE TEACHER TRAINING INSTITUTE BANASHANKARI BANGALORE,2015,Girls Hostel,Bangalore city Girls Hostel,50,4
14596,"GURUKUL D.T.ED.COLLEGE, BEED",2015,Girls Hostel,"Gurukul Hostel,Beed",70,70
2140,SHREE VITTHAL EDU. AND RESEARCH INSTITUTE COLLEGE OF ENGINEERING (POLYTECHNIC) GOPALPUR PANDHARPUR,2015,Girls Hostel,COE(POLY) PANDHARPUR,500,400
2140,SHREE VITTHAL EDU. AND RESEARCH INSTITUTE COLLEGE OF ENGINEERING (POLYTECHNIC) GOPALPUR PANDHARPUR,2015,Boys Hostel,COE(POLY) PANDHARPUR,500,450
1728,D.Y.PATIL EDUCATION SOCIETYD.Y. PATIL POLYTECHNICTALSANDE TAL- HATKANAGALE KOLHAPUR,2015,Girls Hostel,D. Y. PATIL GIRLS HOSTEL,255,15
1728,D.Y.PATIL EDUCATION SOCIETYD.Y. PATIL POLYTECHNICTALSANDE TAL- HATKANAGALE KOLHAPUR,2015,Boys Hostel,D. Y. PATIL BOYS HOSTEL,400,35
1726,D. Y. PATIL EDUCATIONAL SOCITY'S D.Y. PATIL COLLEGE OF ENGINEERING & POLYTECHNIC KOLHAPUR,2015,Girls Hostel,D.Y.PATIL GIRLS HOSTE,255,25
1726,D. Y. PATIL EDUCATIONAL SOCITY'S D.Y. PATIL COLLEGE OF ENGINEERING & POLYTECHNIC KOLHAPUR,2015,Boys Hostel,D.Y.PATIL BOYS HOSTEL,400,70
3648,SRI VENKATESWARA SCHOOL OF NURSING VISAKHAPATNAM,2015,Girls Hostel,sri venkatewara hostel,150,120
3777,"SCHOOL OF NURSING(GNM), M G S HOSPITAL, SURENDRANAGAR",2015,Girls Hostel,Nursing Hostel,60,74
2753,BHARATH POLYTECHNIC COLLEGE THIRVANCHERRY,2015,Boys Hostel,BHARATH HOSTEL,150,40
2753,BHARATH POLYTECHNIC COLLEGE THIRVANCHERRY,2015,Girls Hostel,BHARATH HOSTEL,140,60
8545,V.J.P TEACHER TRAINIING INSTITUTION SIRUGANUR,2015,Girls Hostel,V.J.P HOSTEL,100,12
14026,"Mahatma Gandhi SON, Junagadh",2015,Girls Hostel,Mahatma Gandhi Nursing Hostel,70,70
11088,NAVDEEP PTC COLLEGE DOLTABAD,2015,Boys Hostel,SHARDA VIDHYAPITH,100,75
5782,"BAPA SITARAM PTC COLLEGE, RAJULA",2015,Girls Hostel,BAPA SITARAM,50,0
5782,"BAPA SITARAM PTC COLLEGE, RAJULA",2015,Boys Hostel,BAPA SITARAM,50,0
5837,GOVT TRAINING COLLEGE FOR MAN SABARKANTHA,2015,Boys Hostel,New hostel,72,70
5837,GOVT TRAINING COLLEGE FOR MAN SABARKANTHA,2015,Boys Hostel,Old hostel,66,0
9658,NAVAL BHAU PRATISHTHANS AMALNER JALGAON,2015,Girls Hostel,NBPs GIRLs HOSTEL AMALNER,50,0
9658,NAVAL BHAU PRATISHTHANS AMALNER JALGAON,2015,Boys Hostel,NBPs BOYs HOSTEL AMALNER,50,0
3535,LAXMI SCHOOL OF NURSING VIZIANAGARAM,2015,Girls Hostel,LAKSHMI SCHOOL OF NURSING,240,175
6040,SHRI G.G.MEHTASTREE ADHYAPAN MANDIR BANSKANTHA,2015,Girls Hostel,"STRI ADHYAPAN MANDIR, CHITRASANI",200,29
4090,KARNATAKA HEALTH INSTITUTE SCH OF NSG. BELGAUM,2015,Girls Hostel,KHI GIRLS HOSTEL 1,100,65
4090,KARNATAKA HEALTH INSTITUTE SCH OF NSG. BELGAUM,2015,Girls Hostel,KHI GIRLS HOSTEL -2,100,73
3787,SANCHALIT NURSING SCHOOL AMRELI,2015,Girls Hostel,BHAGINI CHHATRALAY,150,105
4230,REV NOORUNISSA SCHOOL OF NURSING KOLAR,2015,Boys Hostel,Rev.Noorunnissa Boys Hostel,50,13
4230,REV NOORUNISSA SCHOOL OF NURSING KOLAR,2015,Girls Hostel,Rev.Noorunnissa Ladies Hostel,150,50
9332,INDRABHAGYA KRISHI VA GRAMIN VIKASH SANSTHA DIGHANCHI SANGLI,2015,Girls Hostel,Gauri Girls Hostel,25,0
9332,INDRABHAGYA KRISHI VA GRAMIN VIKASH SANSTHA DIGHANCHI SANGLI,2015,Boys Hostel,Girish Boys Hostel,25,0
2047,S. D. PATIL INSTITUTE OF PHARMACY URUN-ISLAMPUR,2015,Girls Hostel,Malti Vasantdada Patil Girls hostel,60,15
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Girls Hostel,NIT HOSTEL(GIRLS),50,15
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Boys Hostel,NIT 3rd YEAR HOSTEL(BOYS),150,125
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Boys Hostel,NIT 2nd YEAR HOSTEL(BOYS),150,157
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Boys Hostel,NIT 1st YEAR HOSTEL(BOYS),150,58
11023,EAKTA PTC COLLEGE NAVI METRAL,2015,Boys Hostel,EKTA BOYS HOSTEL,200,2
11023,EAKTA PTC COLLEGE NAVI METRAL,2015,Girls Hostel,EKTA GIRLS HOSTEL,200,15
8986,DISTRICT INSTITUTE OF EDUCATION & TRAINING IDAR IDAR SABARKANTHA,2015,Girls Hostel,GOV.GIRLS HOSTEL,100,30
5922,PRIMARY TEACHER TRAINING COLLEGE MOTIPURA SABARKANTHA,2015,Boys Hostel,MANCHIBA LEUVA PATIDAR SAMAJ WADI,200,0
2235,VIDYAVARDHINI EDUCATIONAL ACADEMY'S VIDYAVARDHINI INSTITUTE OF TECHNOLOGYBHUDARGAD,2015,Others,Boys Hostel,100,50
2235,VIDYAVARDHINI EDUCATIONAL ACADEMY'S VIDYAVARDHINI INSTITUTE OF TECHNOLOGYBHUDARGAD,2015,Girls Hostel,girl's hostel,100,40
10220,VITTHALRAO DESHMUKH ADHYAPAK VIDYALAYA SANGLI SANGLI,2015,Girls Hostel,VITTHALRAO DESHMUKH ADDHYAPAK VIDYALAYA HOSTEL,15,5
10220,VITTHALRAO DESHMUKH ADHYAPAK VIDYALAYA SANGLI SANGLI,2015,Boys Hostel,VITTHALRAO DESHMUKH ADDHYAPAK VIDYALAYA HOSTEL,25,4
11075,MAHILA ADHYAPAN MANDIR ZALOD,2015,Girls Hostel,PTC GIRLS HOSTEL,200,98
4178,NIGHTANGLE SCHOOL OF NURSING CHIKMAGALUR,2015,Girls Hostel,NIGHTINGALE HOSTEL,50,50
9724,PRAMOD RAVINDRA DHURI ADHYAPAK MAHAVIDYALAYA KUDAL SINDHUDURG,2015,Others,JAIHIND HOSTEL,60,0
2189,SHRIRAM INSTITUTE OF ENGINEERING & TECHNOLOGY (POLY) PANIV,2015,Boys Hostel,Sushishialkumar shinde Boy's Hostel,200,175
2189,SHRIRAM INSTITUTE OF ENGINEERING & TECHNOLOGY (POLY) PANIV,2015,Girls Hostel,Sauo.Ujjawalatai Shinde Girls Hostel,200,168
4330,SRI RAMAKRISHNA SCHOOL OF NURSING CHICKMAGALUR,2015,Girls Hostel,Sri Ramakrishna Hostel,50,47
9437,KASTURBA JUNIOR COLLEGE OF EDUCATION RAJNEMI PARISAR SANGLI,2015,Girls Hostel,"KASTURBA JR COLLEGE GIRLS HOSTEL, SANGLI.",60,0
12988,"JYOTHI SCHOOL OF NURSING, TADEPALLIGUDEM, WEST GODAVARI",2015,Girls Hostel,Jyothi school of Nursing,135,78
11195,THAKORBHAI NATHUBHAI PTC COLLEGE BHARTHANA (VESU),2015,Boys Hostel,T.N.PATEL P.T.C.COLLEGE HOSTEL,50,0
11195,THAKORBHAI NATHUBHAI PTC COLLEGE BHARTHANA (VESU),2015,Girls Hostel,T.N.PATEL P.T.C.COLLEGE HOSTEL,50,0
6031,SHREEJI PTC COLLEGE SABARKANTHA,2015,Others,SHREEJI PTC HOSTEL,50,10
6970,CHRIST KING CONVENT TEACHER TRAINING INSTITUTE THRISSUR,2015,Girls Hostel,C.K.C T.T.I HOSTEL PAVARATTY,80,30
10073,SHRI VENKATESHWARA SHIKSHAN SANSTHA SANCHALIT NANASAHEB MAHADIK D. ED. COLLEGE WALWA SANGLI,2015,Girls Hostel,NANASAHEB MAHADIK GIRLS HOSTEL,50,0
10073,SHRI VENKATESHWARA SHIKSHAN SANSTHA SANCHALIT NANASAHEB MAHADIK D. ED. COLLEGE WALWA SANGLI,2015,Boys Hostel,NANASAHEB MAHADIK BOYS HOSTEL,50,0
14539,"GOVERNMENT POLYTECHNIC, JAJPUR, RAGADI",2015,Boys Hostel,GENTS HOSTEL,150,154
14539,"GOVERNMENT POLYTECHNIC, JAJPUR, RAGADI",2015,Girls Hostel,GIRLS HOSTEL,60,60
3766,"SCHOOL OF NURSING, GENERAL HOSPITAL, NADIAD",2015,Girls Hostel,Nursing Hostel,20,80
9951,"SHRI AMBABAI TALIM SANSTHAS SHETH R.V. GOSALIYA JR. COLLEGE OF EDUCATION, MIRAJ SANGLI",2015,Boys Hostel,SHETH R.V.GOSALIYA JR.COLLEGE OF EDUCATION HOSTEL.MIRAJ,30,0
6110,SURAJBA STREE ADHYAPAN MANDIR ANAND,2015,Girls Hostel,SURAJBA GIRLS HOSTEL SUNAV,200,57
9914,SHIKSHAN MANDIR SANSTHA JUNIOR COLLEGE OF EDUCATION G. P. O. JALGAON,2015,Girls Hostel,"SHIKSHAN MANDIRS GIRLS HOSTEL, JALGAON",175,120
10068,SHRI UDAJIRAO JR. COLLEGE OF EDUCATION GARGOTI KOLHAPUR,2015,Girls Hostel,Mouni Vidyapeeth Girle Hostel,30,2
10068,SHRI UDAJIRAO JR. COLLEGE OF EDUCATION GARGOTI KOLHAPUR,2015,Boys Hostel,Panjabrao Deshmukh Hostel,30,8
4025,GOPALA GOWDA SHANTHAVERI MEMORIAL HOSPITAL TRUST MYSORE,2015,Girls Hostel,"GGSM School of Nursing, Peter Forms, Chamundi hill Road, Mysore",180,122
4025,GOPALA GOWDA SHANTHAVERI MEMORIAL HOSPITAL TRUST MYSORE,2015,Boys Hostel,"GGSM School of Nursing Boys Hostel, Nazarbad, Mysore",25,15
1415,S. J. (GOVT.) POLYTECHNIC BANGALORE,2015,Boys Hostel,Boys Hostel,120,120
11155,SHRI M L DOSHI MAHILA ADHYAPAN MANDIR SURENDRANAGAR,2015,Girls Hostel,Shri M. T. Doshi Kanya Chhatralaya,100,38
1184,ANANDA MARGAPOLYTECHNIC MALLUR,2015,Boys Hostel,Ananda Marga Polytechnic Hostel,140,20
1674,ASHOKRAO MANE POLYTECHNIC,2015,Boys Hostel,Ashokrao Mane Boys Hostel,150,75
1674,ASHOKRAO MANE POLYTECHNIC,2015,Girls Hostel,Ashokrao Mane Boys Hostel,75,16
10205,VIDYA PRASARAK SAMITI DEOLA,2015,Girls Hostel,Vidhya Prasarak Samiti Nimbole Hostel,0,0
1703,BHARTIYA EDUCATION SOC.'S INSTITUTE OF PHARMACY VELSHET TAL. ROHA DIST. RAIGAD.,2015,Boys Hostel,BES BOYS HOSTEL,60,20
9892,SHAHU SHIKSHAN SANSTHA (PANDHARPUR) RAJMATA ADHYAPAK VIDYALAYA VIJAYANAGAR SANGLI,2015,Girls Hostel,"RAJMATA MAHILA HOSTEL,VIJAYNAGAR,SANGLI",50,0
9390,JUNIOR COLLEGE OF EDUCATION RAHIMATPUR SATARA,2015,Girls Hostel,D.T.Ed.,40,7
9787,RATHE JR. COLLEGE OF EDUCATION ASTHA ASTHA SANGLI,2015,Boys Hostel,L.A.V.A.HOSTEL,50,3
9787,RATHE JR. COLLEGE OF EDUCATION ASTHA ASTHA SANGLI,2015,Girls Hostel,L.A.V.A.HOSTEL,30,0
2240,VISHAL JUNNER SEVA MANDAL'S INSTITUTE OF PHARMACY FOR WOMEN ALEPUNE,2015,Girls Hostel,"VJSM""S,Smt.Pratibhatai S. Pawar Ladies Hostel,Ale.",200,166
3988,D R H SCHOOL OF NURSING GULBARGA,2015,Boys Hostel,drhson boys hostel,100,80
3988,D R H SCHOOL OF NURSING GULBARGA,2015,Girls Hostel,drhson girls hostel,100,45
1699,BHARTI VIDYAAPEETH'S JAWAHARLAL NEHRU INSTITUTE OF TECHNOLOGY PUNE,2015,Boys Hostel,Bharati Vidyapeeths Boys Hostel,100,100
1699,BHARTI VIDYAAPEETH'S JAWAHARLAL NEHRU INSTITUTE OF TECHNOLOGY PUNE,2015,Girls Hostel,Bharati Vidyapeeths Girls Hostel,100,100
13967,"TECHNO INSTITUTE OF MANAGEMENT SCIENCES, LUCKNOW",2015,Boys Hostel,Hostel1,49,4
13967,"TECHNO INSTITUTE OF MANAGEMENT SCIENCES, LUCKNOW",2015,Girls Hostel,Hostel2,28,0
6057,SHRI LOHANA STHAPIT MAHILA ADHYAPAN MANDIR RAJKOT,2015,Girls Hostel,SHRI LOHANA STHAPIT MAHILA VIKAS GRUH,210,73
9876,SAVITRIBAI PHULE SOCIETYS SMT. KASHIBAI NAVALE COLLEGE OF EDUCATION TALUKA SANGOLA SOLAPUR,2015,Boys Hostel,Kashibai Navale Boys Hostel,40,0
9876,SAVITRIBAI PHULE SOCIETYS SMT. KASHIBAI NAVALE COLLEGE OF EDUCATION TALUKA SANGOLA SOLAPUR,2015,Girls Hostel,Kaveri Girl Hostel,40,4
5953,SARDAR VALLABHBHAI PRABHAS ADHYAPAN MANDIR PRABHAS PATAN JUNAGADH,2015,Girls Hostel,SHREE JAMNABAI MAHILA CHHATRALAY,200,80
1252,GOVERNMENT POLYTECHNIC GAJENDRAGAD,2015,Girls Hostel,Girls Hostel,50,0
11074,MAHILA ADHYAPAN MANDIR BABAPUR,2015,Girls Hostel,Sarvoday Hostel,100,56
11071,M K LATIWALA ADHYAPAN MANDIR MODASA,2015,Girls Hostel,M.L.GANDHI COLLEGE HOSTEL,200,102
11071,M K LATIWALA ADHYAPAN MANDIR MODASA,2015,Boys Hostel,M.L.GANDHI COLLEGE HOSTEL,250,125
2115,SHIVNERI FOUNDATION SHIVNERI POLYTECHNIC KHANAPUR JUNNAR PUNE,2015,Boys Hostel,Shivneri Boys hostel,200,7
2115,SHIVNERI FOUNDATION SHIVNERI POLYTECHNIC KHANAPUR JUNNAR PUNE,2015,Girls Hostel,Saraswati Girls Hostel,100,0
1460,T M A E SOCIETYPOLYTECHNIC HOSPET,2015,Boys Hostel,TMAES BOYS HOSTEL,100,100
6021,SHREE SWAMINARYANA ADHYAPAN MANDIR JUNAGADH,2015,Boys Hostel,Swaminarayan gurukul,100,0
6021,SHREE SWAMINARYANA ADHYAPAN MANDIR JUNAGADH,2015,Girls Hostel,Swaminarayan gurukul,100,0
13480,HEMCHANDRA MEMORIAL PRIMARY TEACHERS TRAINING INSTITUTE,2015,Girls Hostel,HEMCHANDRA GIRLS HOSTEL,50,24
13480,HEMCHANDRA MEMORIAL PRIMARY TEACHERS TRAINING INSTITUTE,2015,Girls Hostel,HEMCHANDRA BOYS HOSTEL,50,26
11020,DR RAMBHAI M PATEL PTC COLLEGE KADI,2015,Girls Hostel,Higher Education Girls Hostel,100,0
11020,DR RAMBHAI M PATEL PTC COLLEGE KADI,2015,Boys Hostel,Dr. R.M. Patel P.T.C Hostel,100,0
2793,GMS MAVMM POLYTECHNIC COLLEGE NAICKEN PATTI,2015,Boys Hostel,BOYS HOSTEL,450,140
